name,parent,value
AS1,9e3c,142
ERC,65bf,1667
MD6,5fc2,3448
YNCEC,3558,3569
E4,0a36,3332
AS4,125b,3554
YNCRC1,17c2,3326
HSSML,aa93,1024
E3A,dbcc,1651
YNCRC1,60ca,2848
THALL,76f3,1173
SDE4,76f3,135
YNCRC2,48dc,1148
MD6,5fc9,3476
MD4,5fc9,64
S16CTN,c779,3595
EA,3034,3552
E4,9f9c,2687
E3,4ddc,3028
GRN,ecd5,1435
ERC,ecd5,1909
S5,dfdf,1497
S9,dfdf,1880
YNCRC1,88ea,30
ERC,5e1a,3518
PGPCTN,8480,2406
PGP3,8480,90
S17,8480,324
TCOMS,8480,207
PGPH7-BS,8480,99
S17-BS,8480,216
I4,3f74,37
BIZ2,3f74,2160
BIZ2-BS,3f74,117
KV-BS,b72e,349
S16,c396,320
S16CTN,c396,3253
CELS,bf73,3073
RC4,4faf,1979
EW2,242e,1796
S5,1085,3593
MPH,e47a,158
CNM,932e,615
MD11,929e,1041
E3,a120,3412
SFAH,7d22,2948
E3A,975a,246
EA,975a,2821
EW2,975a,101
KRT-BS,8c63,2241
PGP10,c82b,3402
PGP-BS,c82b,46
HSSML,dc33,166
BIZ1,dc33,2234
LT18,dc33,310
PGP-BS,019a,1758
BIZ1,9b94,3540
CLIB,4caf,727
YNCRC3,0234,337
E2,4574,3433
T-LAB,6acd,3288
CLIB,29c7,1973
S16,b461,3129
RC4,0db9,3571
TBS,5858,38
SFAH,fa12,3053
S16CTN,beeb,3166
UT-BS,d9f4,697
CREATE,d9f4,2753
YNCEC,5666,66
YIH,64ce,3454
RC4,d1d2,1080
MD1,af37,2618
AS2,b37a,775
CREATE,b37a,2484
AS1,b37a,277
I4,0add,701
TCOMS,0add,2358
BIZ2-BS,0add,18
MD6,db3c,2131
MD6,d4eb,2562
S16,b1f8,1930
S15,b1f8,53
S6,b1f8,114
S10,b1f8,59
LT27-BS,b1f8,81
MD1,b1f8,119
S16CTN,b1f8,56
