dorm,day,hour,uniqueDevices
GRN,6,16,124
GRN,6,17,124
GRN,6,18,146
GRN,6,19,155
GRN,6,20,110
GRN,6,21,92
GRN,6,22,65
GRN,6,23,57
GRN,6,24,1873
GRN,8,0,23
GRN,8,1,24
GRN,8,2,16
GRN,8,3,8
GRN,8,4,2
GRN,8,5,0
GRN,8,6,4
GRN,8,7,11
GRN,8,8,35
GRN,8,9,37
GRN,8,10,48
GRN,8,11,84
GRN,8,12,107
GRN,8,13,127
GRN,8,14,79
GRN,8,15,76
GRN,8,16,73
GRN,8,17,112
GRN,8,18,123
GRN,8,19,129
GRN,8,20,83
GRN,8,21,0
GRN,8,22,0
GRN,8,23,0
GRN,8,24,1201
PGPH2,7,0,1
PGPH2,7,1,1
PGPH2,7,2,1
PGPH2,7,3,2
PGPH2,7,4,2
PGPH2,7,5,2
PGPH2,7,6,2
PGPH2,7,7,3
PGPH2,7,8,5
PGPH2,7,9,9
PGPH2,7,10,17
PGPH2,7,11,6
PGPH2,7,12,7
PGPH2,7,13,6
PGPH2,7,14,7
PGPH2,7,15,9
PGPH2,7,16,7
PGPH2,7,17,4
PGPH2,7,18,6
PGPH2,7,19,6
PGPH2,7,20,6
PGPH2,7,21,2
PGPH2,7,22,2
PGPH2,7,23,2
PGPH2,7,24,115
